Year,City,Country,source_table,Closing ceremony,Firstyear,Lastyear,Opening ceremony,Ref.,Region,Summer,Summer Olympics,Total,Winter,Winter Olympics,extra_9
China,,Beijing [ k ],wikitable,8 August 2008,,,,24 August 2008,2008,Asia,,,S029 XXIX,,[ 24 ]
Canada,,Vancouver,wikitable,12 February 2010,,,W021 XXI,28 February 2010,2010,North America,,,,,
United Kingdom,,London,wikitable,27 July 2012,,,,12 August 2012,2012,Europe,,,S030 XXX,,
Russia [ i ],,Sochi,wikitable,23 February 2014,,,7 February 2014,,2014,,,,W022 XXII,,
Brazil,,Rio de Janeiro,wikitable,5 August 2016,,,,21 August 2016,2016,South America,,,S031 XXXI,,
South Korea,,Pyeongchang,wikitable,9 February 2018,,,W023 XXIII,25 February 2018,2018,Asia,,,,,
Japan,§,Tokyo,wikitable,8 August 2021 [ l ],,,23 July 2021 [ l ],,2020,S032 XXXII,,,,,
China,,Beijing,wikitable,20 February 2022,,,4 February 2022,,2022,,,,W024 XXIV,,
France,,Paris [ m ],wikitable,26 July 2024,,,,11 August 2024,2024,Europe,,,S033 XXXIII,,
Italy,,Milan Cortina d'Ampezzo,wikitable,22 February 2026,,,6 February 2026,,2026,,,,W025 XXV,,
United States,,Los Angeles,wikitable,14 July 2028,,,,30 July 2028,2028,North America,,,S034 XXXIV,,
France,,French Alps [ n ],wikitable,1 February 2030,,,W026 XXVI,17 February 2030,2030,Europe,,,,,
Australia,,Brisbane,wikitable,23 July 2032,,,,8 August 2032,2032,Oceania,,,S035 XXXV,,
United States,,Salt Lake City [ o ],wikitable,3 February 2034,,,W027 XXVII,19 February 2034,2034,North America,,,,,
,London,United Kingdom,List of cities that hosted multiple editions of the Olympic Games,,,,,,Europe,,"3 ( 1908 , 1948 , 2012 )",3,,,
,United States,North America,List of cities that hosted multiple editions of the Olympic Games,,,,,,"3 ( 1932 , 1984 , 2028 )",,,Los Angeles,,,
,France,Europe,List of cities that hosted multiple editions of the Olympic Games,,,,,,"3 ( 1900 , 1924 , 2024 )",,,Paris,,,
,Albertville,,List of cities that hosted multiple editions of the Olympic Games,,,,,,"2 ( 1992 , 2030 [ 29 ] )",,,2,,,
,Greece,"2 ( 1896 , 2004 )",List of cities that hosted multiple editions of the Olympic Games,,,,,,,,,Athens,,,
,China,Asia,List of cities that hosted multiple editions of the Olympic Games,,,,,,1 ( 2008 ),,1 ( 2022 ),Beijing,,,
,Italy,Europe,List of cities that hosted multiple editions of the Olympic Games,,,,,,,,"2 ( 1956 , 2026 )",Cortina d'Ampezzo,,,
,,"2 ( 2006 , 2030 [ 29 ] )",List of cities that hosted multiple editions of the Olympic Games,,,,,,,,,Turin,,,
,Austria,,List of cities that hosted multiple editions of the Olympic Games,,,,,,"2 ( 1964 , 1976 )",,,Innsbruck,,,
,United States,North America,List of cities that hosted multiple editions of the Olympic Games,,,,,,,,"2 ( 1932 , 1980 )",Lake Placid,,,
,,"2 ( 2002 , 2034 )",List of cities that hosted multiple editions of the Olympic Games,,,,,,,,,Salt Lake City,,,
,Switzerland,Europe,List of cities that hosted multiple editions of the Olympic Games,,,,,,,,"2 ( 1928 , 1948 )",St. Moritz,,,
,Japan,Asia,List of cities that hosted multiple editions of the Olympic Games,,,,,,"2 ( 1964 , 2020 )",,,Tokyo,,,
,,United States,List of countries ranked by the number of times they hosted or will host the Olympic Games,,1904,2034,,,North America,,"5 ( 1904 , 1932 , 1984 , 1996 , 2028 )",10,,"5 ( 1932 , 1960 , 1980 , 2002 , 2034 )",
,,France,List of countries ranked by the number of times they hosted or will host the Olympic Games,,1900,2030,,,Europe,,"3 ( 1900 , 1924 , 2024 )",7,,"4 ( 1924 , 1968 , 1992 , 2030 )",
,,Italy,List of countries ranked by the number of times they hosted or will host the Olympic Games,,2026,1 ( 1960 ),,,1956,,"3 ( 1944 , 1956 , 2006 , 2026 )",4,,,
