Year,City,Country,Season,Notes,Source_table,Raw
2008,China,Asia,Summer,,List of countries ranked by the number of times they hosted or will host the Olympic Games,China | Asia | 2008 | 2022 | 1 ( 2008 ) | 1 ( 2022 )
2010,Vancouver,Canada,Winter,,, | Vancouver | Canada | 2010 | North America |  | W021 XXI | 12 February 2010 | 28 February 2010 | 
2012,London,United Kingdom,Summer,,, | London | United Kingdom | 2012 | Europe | S030 XXX |  | 27 July 2012 | 12 August 2012 | 
2014,Sochi,Russia,Winter,,, | Sochi | Russia | 2014 |  | W022 XXII | 7 February 2014 | 23 February 2014 | 
2016,Rio de Janeiro,Brazil,Summer,,, | Rio de Janeiro | Brazil | 2016 | South America | S031 XXXI |  | 5 August 2016 | 21 August 2016 | 
2016,Brazil,South America,Summer,,List of countries ranked by the number of times they hosted or will host the Olympic Games,Brazil | South America | 2016 | 2016 | 1 ( 2016 ) | 
2016,1,South America,Summer,,,1 | South America | 2016 | 2016 | 1 ( 2016 ) | 
2018,Pyeongchang,South Korea,Winter,,, | Pyeongchang | South Korea | 2018 | Asia |  | W023 XXIII | 9 February 2018 | 25 February 2018 | 
2020,Tokyo,Japan,Summer,,, | Tokyo | Japan | 2020 | S032 XXXII |  | 23 July 2021 | 8 August 2021 | 
2022,Beijing,China,Winter,,, | Beijing | China | 2022 |  | W024 XXIV | 4 February 2022 | 20 February 2022 | 
2024,Paris,France,Summer,,, | Paris | France | 2024 | Europe | S033 XXXIII |  | 26 July 2024 | 11 August 2024 | 
